user_id,lifetime_days,daily_revenue,discount_rate
143,247,2.09,0.02
144,124,5.54,0.03
145,272,0.99,0.03
146,36,0.38,0.05
147,299,8.06,0.03
148,45,5.26,0.03
149,172,9.49,0.03
150,38,4.21,0.01
151,423,8.7,0.03
152,93,4.02,0.04
153,98,3.55,0.02
154,36,5.65,0.04
155,354,6.38,0.03
156,178,5.61,0.02
157,174,3.55,0.03
158,49,4.24,0.04
159,175,1.51,0.03
160,427,1.81,0.03
161,119,2.25,0.03
162,252,4.99,0.05
163,48,2.42,0.01
164,183,4.13,0.03
165,175,3.42,0.02
166,266,9.07,0.03
167,146,3.31,0.02
168,487,1.68,0.04
169,415,5.9,0.04
170,112,9.97,0.04
171,130,8.59,0.03
172,174,7.1,0.02
173,185,5.06,0.03
174,405,7.84,0.04
175,79,3.24,0.03
176,155,6.0,0.03
177,83,7.6,0.02
178,182,1.03,0.02
179,385,3.2,0.02
180,333,9.02,0.03
181,235,7.11,0.05
182,359,6.29,0.04
183,50,9.88,0.01
184,62,4.14,0.02
185,486,7.47,0.01
186,176,1.49,0.05
187,361,6.4,0.02
188,29,7.79,0.02
189,403,4.78,0.04
190,52,0.28,0.03
191,308,4.25,0.01
192,96,8.88,0.02
193,168,1.66,0.01
194,36,6.59,0.02
195,447,9.39,0.03
196,432,2.13,0.01
197,316,1.66,0.05
198,465,8.67,0.02
199,290,9.22,0.02
200,201,7.56,0.02
201,239,0.73,0.04
202,293,6.26,0.02
203,420,9.0,0.02
204,235,7.62,0.05
205,418,9.34,0.02
206,440,9.07,0.04
207,89,2.87,0.04
208,64,4.15,0.03
209,50,5.78,0.04
210,321,7.14,0.03
211,69,3.74,0.03
212,402,7.98,0.02
213,122,6.15,0.03
214,122,6.28,0.02
215,291,7.93,0.01
216,32,6.58,0.03
217,409,6.85,0.03
218,481,5.7,0.01
219,47,2.77,0.03
220,16,0.11,0.05
221,230,5.95,0.02
222,12,8.84,0.01
223,138,1.88,0.03
224,339,2.84,0.04
225,317,7.08,0.04
226,131,7.36,0.05
227,136,5.94,0.04
228,174,5.21,0.03
229,40,3.16,0.01
230,215,0.61,0.03
231,334,1.79,0.03
232,384,7.55,0.04
233,144,7.89,0.05
234,413,7.53,0.05
235,272,8.89,0.02
236,495,0.86,0.01
237,228,1.58,0.03
238,343,2.92,0.05
239,70,9.69,0.02
240,450,6.82,0.02
241,395,9.57,0.04
242,257,5.75,0.04
243,287,9.68,0.05
244,388,1.72,0.05
245,484,7.29,0.01
246,426,7.27,0.04
247,285,5.85,0.04
248,433,3.68,0.05
249,195,0.37,0.03
250,77,2.67,0.03
251,447,9.01,0.05
252,474,5.77,0.01
253,259,1.78,0.03
254,327,8.56,0.03
255,355,7.5,0.02
256,478,0.49,0.03
257,79,9.46,0.04
258,416,7.32,0.03
259,208,0.61,0.04
260,245,5.76,0.02
261,198,0.35,0.04
262,300,2.25,0.04
263,443,3.85,0.04
264,410,4.32,0.01
265,217,2.66,0.04
266,15,1.97,0.03
267,371,2.3,0.02
268,409,4.7,0.04
269,271,4.72,0.04
270,446,5.65,0.02
271,342,8.98,0.03
272,370,6.35,0.03
273,38,1.22,0.03
274,38,1.09,0.04
275,444,2.57,0.04
276,295,7.55,0.01
277,279,7.03,0.03
278,419,8.15,0.02
279,32,8.01,0.01
280,238,0.71,0.01
281,105,1.28,0.02
282,366,8.47,0.02
283,233,1.07,0.05
284,24,2.5,0.05
285,51,5.04,0.02
286,77,8.09,0.02
287,257,5.81,0.04
288,93,3.78,0.02
289,78,4.5,0.04
290,253,0.36,0.01
291,89,6.61,0.05
292,464,8.53,0.02
293,188,8.56,0.01
294,69,4.36,0.03
295,45,2.24,0.03
296,407,1.15,0.03
297,247,4.11,0.04
298,483,2.32,0.04
299,241,2.11,0.04
300,161,8.94,0.04
301,299,3.67,0.04
302,105,1.22,0.01
303,352,9.38,0.01
304,287,7.89,0.05
305,156,6.06,0.03
306,355,9.35,0.03
307,21,0.84,0.04
308,419,0.45,0.02
309,468,6.8,0.03
310,55,5.36,0.02
311,196,1.56,0.03
312,259,2.14,0.04
313,201,9.33,0.04
314,152,9.76,0.02
315,425,4.63,0.02
316,151,2.93,0.04
317,178,1.86,0.02
318,371,9.26,0.04
319,398,9.24,0.04
320,75,5.45,0.03
321,392,5.32,0.05
322,497,6.32,0.02
323,136,8.25,0.02
324,247,1.05,0.02
325,183,7.28,0.05
326,460,0.47,0.05
327,210,5.9,0.03
328,403,7.16,0.02
329,461,7.53,0.02
330,397,8.55,0.05
331,189,9.87,0.02
332,50,5.65,0.02
333,58,0.45,0.02
334,234,6.44,0.02
335,207,9.68,0.05
336,159,1.15,0.04
337,452,7.67,0.03
338,399,3.67,0.04
339,481,8.88,0.03
340,352,3.56,0.03
341,230,1.08,0.03
342,438,5.03,0.03
343,452,2.75,0.02
344,425,3.58,0.04
345,203,1.04,0.03
346,226,2.07,0.05
347,393,4.36,0.04
348,476,9.12,0.03
349,47,2.99,0.02
350,155,7.89,0.02
351,362,9.49,0.03
352,298,7.25,0.03
353,49,0.34,0.03
354,120,6.69,0.03
355,307,9.6,0.04
356,426,1.02,0.03
357,240,6.69,0.03
358,110,4.96,0.05
359,19,4.54,0.04
360,81,9.44,0.04
361,465,5.12,0.03
362,49,8.35,0.03
363,58,3.93,0.04
364,317,9.07,0.04
365,61,1.94,0.04
366,145,8.74,0.03
367,169,0.61,0.02
368,427,5.13,0.05
369,93,4.49,0.03
370,35,2.65,0.02
371,493,2.13,0.03
372,234,5.86,0.04
373,254,9.54,0.05
374,14,3.3,0.04
375,336,1.48,0.02
376,106,9.19,0.03
377,259,0.59,0.02
378,273,2.21,0.05
379,294,8.04,0.03
380,127,2.92,0.03
381,25,1.71,0.03
382,402,9.91,0.05
383,409,5.55,0.01
384,233,5.84,0.03
385,85,7.98,0.04
386,70,3.8,0.03
387,265,0.14,0.01
388,34,4.77,0.04
389,208,7.84,0.02
390,121,9.23,0.02
391,286,4.63,0.01
392,106,6.81,0.04
393,301,8.66,0.02
394,90,0.67,0.05
395,325,0.72,0.05
396,263,7.49,0.04
397,306,3.07,0.05
398,106,3.47,0.02
399,100,5.33,0.03
400,436,3.15,0.02
401,31,2.95,0.03
402,82,9.55,0.03
403,144,6.31,0.01
404,238,4.58,0.04
405,40,2.14,0.04
406,111,9.42,0.02
407,342,9.86,0.05
408,190,7.72,0.02
409,481,4.75,0.02
410,176,5.89,0.02
411,212,0.57,0.03
412,373,3.86,0.05
413,330,1.03,0.02
414,497,6.41,0.04
415,467,1.93,0.04
416,455,6.36,0.03
417,360,4.12,0.03
418,160,9.96,0.02
419,499,4.14,0.05
420,150,4.3,0.03
421,249,7.39,0.01
422,376,0.21,0.02
423,245,2.75,0.03
424,322,9.14,0.04
425,293,6.82,0.03
426,331,2.24,0.04
427,307,4.72,0.04
428,430,3.26,0.05
429,395,7.36,0.01
430,307,7.97,0.02
431,126,9.22,0.03
432,286,6.73,0.03
433,219,1.33,0.01
434,245,4.75,0.03
435,58,0.61,0.04
436,438,2.6,0.03
437,305,2.77,0.03
438,246,4.16,0.01
439,389,3.5,0.02
440,60,3.99,0.04
441,320,5.07,0.03
442,285,9.45,0.03
443,391,7.63,0.03
444,78,7.91,0.01
445,72,6.81,0.03
446,312,2.26,0.02
447,269,0.24,0.05
448,486,2.64,0.03
449,116,8.43,0.04
450,473,4.72,0.02
451,169,4.85,0.04
452,414,3.59,0.04
453,20,4.61,0.04
454,174,8.19,0.02
455,372,9.05,0.03
456,464,1.91,0.03
457,175,6.43,0.04
458,359,9.69,0.05
459,225,0.78,0.04
460,397,1.27,0.03
461,258,1.18,0.03
462,347,4.93,0.02
463,353,0.38,0.02
464,227,1.26,0.04
465,231,3.19,0.02
466,470,2.94,0.02
467,474,5.76,0.02
468,375,3.5,0.04
469,459,0.78,0.04
470,493,0.66,0.01
471,138,4.15,0.01
472,341,1.59,0.05
473,32,1.73,0.02
474,465,3.65,0.05
475,123,6.7,0.02
476,79,1.63,0.04
477,239,9.76,0.04
478,246,0.33,0.04
479,431,3.83,0.05
480,203,0.85,0.04
481,370,1.24,0.03
482,374,2.91,0.03
483,384,2.89,0.05
484,106,2.95,0.02
485,185,3.98,0.05
486,193,0.38,0.02
487,182,3.38,0.03
488,86,7.88,0.02
489,144,5.35,0.03
490,199,2.9,0.05
491,186,4.83,0.04
492,114,8.92,0.03
493,301,2.45,0.04
494,397,5.35,0.04
495,82,2.18,0.05
496,364,1.08,0.02
497,392,6.33,0.03
498,477,4.77,0.04
499,388,6.61,0.04
500,182,4.9,0.03
